,name/ pos- ref- alt
0,SRR1166318
1,ERR176810
2,ERR181956
3,SRR2100379
4,SRR924706
5,SRR1169163
6,ERR550791
7,SRR1172131
8,SRR1184297
9,SRR1019145
10,SRR1165689
11,SRR2100004
12,SRR1180325
13,SRR1144756
14,ERR163939
15,ERR1034886
16,SRR1735673
17,ERR550787
18,SRR2099964
19,SRR2101612
20,ERR551986
21,ERR1034628
22,SRR1049744
23,SRR2100119
24,SRR1163047
25,SRR671827
26,SRR2100771
27,ERR176796
28,ERR552036
29,ERR550745
30,SRR1049687
31,ERR1034910
32,SRR2101812
33,ERR176679
34,SRR1180170
35,SRR2100977
36,ERR176632
37,SRR2101640
38,SRR1181025
39,ERR212080
40,SRR2100827
41,SRR1163037
42,ERR551228
43,ERR176530
44,ERR400525
45,SRR1184311
46,ERR1213949
47,ERR552374
48,SRR1184340
49,ERR550768
50,ERR176826
51,SRR1172775
52,ERR182013
53,SRR2101035
54,ERR552911
55,ERR552530
56,SRR1577808
57,SRR1167168
58,SRR2099959
59,SRR1175510
60,ERR550646
61,ERR1035331
62,ERR181935
63,ERR182021
64,SRR2101768
65,SRR998701
66,SRR1163369
67,SRR2100263
68,SRR1173552
69,SRR1159245
70,SRR2101468
71,ERR551861
72,ERR176795
73,ERR190378
74,SRR1159366
75,SRR1019131
76,ERR550699
77,SRR1167246
78,SRR1167390
79,SRR1181096
80,SRR1167348
81,ERR552524
82,SRR671836
83,SRR998668
84,SRR2101803
85,ERR1873561
86,ERR551608
87,SRR1163431
88,ERR1035301
89,SRR2100949
90,ERR551094
91,SRR671848
92,SRR2100847
93,SRR1165415
94,SRR671750
95,ERR552203
96,ERR037479
97,ERR182011
98,SRR2100981
99,SRR2100511
100,ERR552215
101,SRR2100777
102,ERR1034866
103,SRR1013559
104,SRR2100493
105,ERR551141
106,SRR998610
107,SRR2101255
108,ERR176499
109,SRR1169521
110,ERR161041
111,ERR550949
112,SRR2100887
113,ERR221524
114,SRR1180371
115,SRR1049672
116,SRR833043
117,SRR1167313
118,SRR2100801
119,ERR037474
120,SRR1165335
121,ERR551726
122,SRR1165461
123,ERR1034999
124,ERR212126
125,ERR551442
126,ERR212047
127,SRR2101570
128,ERR551042
129,ERR553259
130,ERR1213909
131,SRR1173351
132,ERR1034786
133,ERR1035143
134,SRR1011521
135,ERR161200
136,ERR867552
137,ERR552027
138,ERR212045
139,ERR1873464
140,SRR1049750
141,ERR1034876
142,ERR552345
143,SRR1169065
144,ERR1213838
145,SRR2101548
146,ERR552355
147,ERR221535
148,ERR181823
149,SRR998720
150,SRR671771
151,SRR1165701
152,ERR163962
153,ERR176620
154,SRR2101632
155,SRR1167317
156,SRR924704
157,SRR1169580
158,ERR221611
159,SRR2101703
160,ERR551548
161,SRR1166920
162,SRR2101075
163,SRR2101823
164,ERR552715
165,SRR2101148
166,ERR1035045
167,SRR2101510
168,ERR067732
169,SRR1175092
170,SRR3675485
171,SRR2101237
172,SRR2100772
173,SRR2100407
174,ERR245844
175,SRR2100212
176,SRR2100426
177,ERR037476
178,ERR161012
179,SRR2100716
180,ERR245782
181,SRR1169039
182,ERR245656
183,ERR212043
184,SRR1062879
185,ERR037533
186,SRR2099939
187,ERR234556
188,SRR998580
189,SRR1180425
190,SRR1173131
191,SRR1049588
192,SRR2099934
193,ERR1213886
194,ERR552204
195,SRR1173265
196,SRR1181024
197,SRR2100427
198,ERR552061
199,SRR1103491
200,SRR1166110
201,ERR551508
202,SRR924709
203,SRR1144812
204,SRR2100126
205,ERR551662
206,ERR552317
207,SRR1173339
208,SRR1184125
209,SRR1169499
210,SRR2101219
211,ERR245759
212,SRR2100877
213,ERR552873
214,SRR833064
215,ERR176575
216,ERR1035115
217,ERR176603
218,SRR2100578
219,SRR1146320
220,ERR176756
221,ERR552930
222,SRR2101577
223,SRR1173206
224,SRR1166808
225,ERR161022
226,ERR1213883
227,SRR1019126
228,SRR1173551
229,ERR176727
230,ERR550801
231,ERR245774
232,ERR1213893
233,ERR163982
234,ERR037517
235,ERR550797
236,SRR1172961
237,SRR1180321
238,SRR1165277
239,SRR2101309
240,ERR551320
241,ERR1873520
242,ERR552030
243,ERR1034777
244,ERR036241
245,ERR551382
246,ERR553140
247,ERR037528
248,SRR2101210
249,SRR1173425
250,SRR1181155
251,SRR1162829
252,SRR1162900
253,SRR1011478
254,SRR2101596
255,SRR1735629
256,ERR552595
257,ERR181906
258,ERR550839
259,SRR1165618
260,SRR671777
261,SRR1167291
262,SRR2101563
263,SRR833045
264,ERR1873488
265,ERR1213940
266,ERR212008
267,SRR832978
268,ERR212017
269,ERR550962
270,ERR234589
271,ERR176522
272,SRR2100896
273,SRR2101145
274,ERR126620
275,SRR2100129
276,ERR552055
277,ERR181717
278,SRR2100045
279,ERR1035110
280,ERR552465
281,ERR550809
282,SRR1049651
283,SRR1172124
284,SRR2100546
285,SRR2100395
286,SRR2100582
287,SRR2100514
288,ERR176468
289,SRR2100321
290,ERR164008
291,SRR1163325
292,ERR161167
293,ERR552256
294,ERR551751
295,SRR2101795
296,SRR1180333
297,SRR2101007
298,ERR221592
299,ERR551984
300,SRR2101341
301,ERR551648
302,ERR221565
303,SRR1165541
304,ERR176449
305,SRR1181108
306,ERR1034969
307,SRR1047994
308,ERR552538
309,SRR671811
310,ERR176707
311,ERR181848
